GEOID,YEAR,mean_mig,mean_base,SSP2,Inundated,mean_inun
01039,2090,50641.733242653056,51102.885683055945,SSP2,1,51102.885683055945
01039,2095,51918.19333146036,52955.14907434108,SSP2,1,52955.14907434108
01039,2100,52821.85921343218,54864.392327587666,SSP2,1,54864.392327587666
01041,2020,14180.443938053708,14180.443938053708,NA,1,14180.443938053708
01041,2025,14447.810108033142,14452.518483725109,NA,1,14452.518483725109
01041,2030,14638.836670809349,14652.227166834566,NA,1,14652.227166834566
01041,2035,14778.020416437023,14803.865080665271,NA,1,14803.865080665271
01041,2040,14906.658073589202,14948.756377499434,NA,1,14948.756377499434
01041,2045,15041.259173668765,15103.40952117129,NA,1,15103.40952117129
01041,2050,15235.864141375541,15321.981022517719,NA,1,15321.981022517719
01041,2055,15519.71074676056,15633.75616870074,NA,1,15633.75616870074
01041,2060,15858.749081316264,16003.968447610558,NA,1,16003.968447610558
01041,2065,16258.421783557802,16435.941545560876,NA,1,16435.941545560876
01041,2070,16699.926080918805,16908.136557828006,NA,1,16908.136557828006
01041,2075,17165.166935071673,17397.42755590774,NA,1,17397.42755590774
01041,2080,17689.0478444801,17927.349795249622,NA,1,17927.349795249622
01041,2085,18314.778691042,18517.136421070554,NA,1,18517.136421070554
01041,2090,19074.442353737864,19156.62469228143,NA,1,19156.62469228143
01041,2095,20029.99132144332,19837.341360039216,NA,1,19837.341360039216
01041,2100,21290.447309020532,20552.46047704397,NA,1,20552.46047704397
01043,2020,84066.94993497212,84065.97834953413,NA,1,84065.97834953413
01043,2025,85807.18530833704,85811.65554615464,NA,1,85811.65554615464
01043,2030,87221.03414472505,87230.05051774024,NA,1,87230.05051774024
01043,2035,88309.59189747051,88320.19399876376,NA,1,88320.19399876376
01043,2040,89430.30748942851,89437.68087427519,NA,1,89437.68087427519
01043,2045,90636.50548633742,90632.98160768322,NA,1,90632.98160768322
01043,2050,92114.82223141393,92088.58866873547,NA,1,92088.58866873547
01043,2055,94063.05482944466,93994.87405274455,NA,1,93994.87405274455
01043,2060,96424.66301123396,96283.72353445108,NA,1,96283.72353445108
01043,2065,99046.24107791643,98784.70922870694,NA,1,98784.70922870694
01043,2070,101940.12778572679,101485.79501805303,NA,1,101485.79501805303
01043,2075,105172.17727526645,104415.91397350236,NA,1,104415.91397350236
01043,2080,108882.23805629513,107657.2066063523,NA,1,107657.2066063523
01043,2085,113293.8655020858,111341.91945149547,NA,1,111341.91945149547
01043,2090,118413.74634312396,115344.2941195807,NA,1,115344.2941195807
01043,2095,124324.99768781167,119555.67556120812,NA,1,119555.67556120812
01043,2100,131214.7142602952,123884.27260936234,NA,1,123884.27260936234
01045,2020,51257.94533999294,51225.730333335836,NA,1,51225.730333335836
01045,2025,52914.28279759446,52857.57529205251,NA,1,52857.57529205251
01045,2030,54341.47039245774,54259.6562317787,NA,1,54259.6562317787
01045,2035,55481.56331929103,55375.340602660894,NA,1,55375.340602660894
01045,2040,56598.09976386051,56478.501657544824,NA,1,56478.501657544824
01045,2045,57709.477737058056,57607.532946049214,NA,1,57607.532946049214
01045,2050,58891.0587236702,58870.89035116575,NA,1,58870.89035116575
01045,2055,60202.4068504959,60384.3194410385,NA,1,60384.3194410385
01045,2060,61435.45778919923,62035.793189324955,NA,1,62035.793189324955
01045,2065,62284.81319860494,63672.445396455856,NA,1,63672.445396455856
01045,2070,62522.11201453124,65308.40458658488,NA,1,65308.40458658488
01045,2075,61889.785857906216,67068.94598483465,NA,1,67068.94598483465
01045,2080,59901.93594911506,69073.68763364907,NA,1,69073.68763364907
01045,2085,55689.06955182823,71456.50679603523,NA,1,71456.50679603523
